epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,349.105,1.53804,1.8282,1.59609,0.59162,0.55429,0.57505,0.23958,2.06158,1.77073,1.74363,0.0011882,0.0011882,0.0011882
43,357.288,1.48708,1.80374,1.55762,0.50724,0.60571,0.54746,0.23452,2.1191,1.66792,1.69961,0.0011684,0.0011684,0.0011684
44,365.505,1.51116,1.78972,1.56686,0.58173,0.52454,0.58052,0.26675,2.06371,1.66787,1.714,0.0011486,0.0011486,0.0011486
45,373.722,1.49462,1.7728,1.55301,0.57831,0.62857,0.5912,0.2662,2.01364,1.68626,1.67355,0.0011288,0.0011288,0.0011288
46,381.899,1.50649,1.80681,1.58517,0.58135,0.6,0.57291,0.25892,2.10243,1.76373,1.75258,0.001109,0.001109,0.001109
47,390.117,1.47747,1.80868,1.56585,0.64898,0.6,0.64875,0.30057,1.97081,1.5632,1.64364,0.0010892,0.0010892,0.0010892
48,398.335,1.49969,1.75158,1.57013,0.54966,0.50286,0.52649,0.22584,2.05815,1.77869,1.70927,0.0010694,0.0010694,0.0010694
49,406.535,1.4515,1.75893,1.53042,0.55782,0.59429,0.59754,0.26963,1.98228,1.73893,1.66268,0.0010496,0.0010496,0.0010496
50,414.662,1.48928,1.77861,1.55746,0.56082,0.50857,0.52577,0.23156,2.12018,1.79528,1.75473,0.0010298,0.0010298,0.0010298
51,422.875,1.47234,1.71016,1.56339,0.64094,0.61203,0.62221,0.27401,1.97248,1.60246,1.69303,0.00101,0.00101,0.00101
52,431.006,1.44923,1.73268,1.5215,0.52555,0.56968,0.50991,0.2464,1.91846,1.6707,1.67248,0.0009902,0.0009902,0.0009902
53,439.227,1.44805,1.70254,1.52404,0.71598,0.48978,0.61025,0.28516,1.98293,1.54089,1.67738,0.0009704,0.0009704,0.0009704
54,447.369,1.41673,1.6778,1.50534,0.52944,0.68151,0.58992,0.29895,1.87766,1.49706,1.55796,0.0009506,0.0009506,0.0009506
55,455.618,1.44322,1.73559,1.53013,0.60411,0.65398,0.66197,0.32016,1.92739,1.57537,1.60423,0.0009308,0.0009308,0.0009308
56,463.797,1.42908,1.67604,1.5198,0.55777,0.50451,0.54279,0.29473,1.76079,1.58479,1.5389,0.000911,0.000911,0.000911
57,472.006,1.42915,1.6492,1.49808,0.61116,0.58379,0.63792,0.32642,1.72964,1.48213,1.47938,0.0008912,0.0008912,0.0008912
58,480.115,1.43255,1.68543,1.51098,0.60757,0.58857,0.61957,0.29673,1.86177,1.6076,1.54345,0.0008714,0.0008714,0.0008714
59,488.262,1.40866,1.63806,1.49777,0.64535,0.63429,0.63882,0.33025,1.69976,1.39681,1.45684,0.0008516,0.0008516,0.0008516
60,496.4,1.41092,1.63856,1.50799,0.65288,0.65714,0.67281,0.33222,1.91017,1.43634,1.59275,0.0008318,0.0008318,0.0008318
61,504.901,1.41824,1.63388,1.50635,0.61453,0.6468,0.63515,0.32327,1.77787,1.40814,1.50165,0.000812,0.000812,0.000812
